Date,Course,Tees,Statistical Par,Handicap Adj Par,Putt,Score
"May 02, 2021",Pleasant Valley Golf Club,White,72.1,94%,35,97
"Jul 27, 2020",Pine Ridge Golf Course |,White,71.8,106%,37,125
"Jun 23, 2020",Largo Golf Course | Largo,Back,56.2,32%,37,84
"May 31, 2020",East Bay Golf Club,Middle,70.7,104%,37,104
"May 23, 2020",Mangrove Bay Golf Course,Black/White,70.5,95%,34,100
"May 16, 2020",Bardmoor Golf and Tennis Club,Gold,73.6,108%,39,106
"May 16, 2020",Bardmoor Golf and Tennis Club,Gold,73.6,108%,39,106
"Mar 28, 2020",Cove Cay Golf Club | Cove Cay Country Club,Black,71.5,118%,36,109
"Mar 15, 2020",Mangrove Bay Golf Course,White,69.8,96%,43,111
"Oct 26, 2019",Cove Cay Golf Club | Cove Cay Country Club,White,70.6,99%,37,118
"Sep 05, 2019",Combined Score,Combined,50.1,71%,38,76
"Aug 24, 2019",Clearwater Country Club,White,70.7,107%,37,102
"Jul 27, 2019",East Bay Golf Club,Middle,70.7,104%,40,102
"Jun 30, 2019",Combined Score,Combined,54.2,73%,35,75
"Jun 24, 2019",Mangrove Bay Golf Course,White,69.8,96%,41,104
"Jun 22, 2019",Cove Cay Golf Club | Cove Cay Country Club,Blue,70.6,109%,40,113
"Jun 15, 2019",Seminole Lake Country Club | Seminole Lake,Black,71.5,108%,38,114
"Jun 08, 2019",Mangrove Bay Golf Course,Black,72.4,92%,42,111
"Jun 02, 2019",East Bay Golf Club,Middle,70.7,104%,40,110
"May 31, 2019",Combined Score,Combined,50.1,71%,35,94